at0,a1w,a2w,a3w
0.234517479,0.048709417,0.086246607,0.055040731
0.238824729,0.035238238,0.052847846,0.086031319
0.278058503,-0.034306209,-0.059271485,-0.057188652
0.27861908,-0.001869522,-0.004028996,-0.067678727
0.223039913,0.027485104,0.019576186,0.063135415
0.210284654,-0.037336244,-0.036055078,-0.038959459
0.287406841,-0.014231939,0.001397125,-0.047596215
0.40096447,-0.031898808,-0.085034,-0.118634529
0.274755334,-0.077459974,-0.116290991,-0.235654127
0.148849576,-0.054176078,-0.125044225,-0.120194721
0.169609745,-0.060234068,-0.043215508,-0.128080067
0.142984653,0.027105413,-0.02087999,0.00444537
0.265194925,-0.140050924,-0.113657948,-0.12699885
0.21857191,-0.005584288,-0.031659018,-0.068156629
0.18765998,0.02604863,0.001592277,6.76058E-06
0.285947806,-0.045032684,-0.1006581,-0.188676356
0.272335301,0.024318525,-0.013642976,0.019150229
0.229215958,-0.096318348,-0.157230267,-0.135857925
0.150284895,-0.066552772,0.02412686,0.049907814
0.275331721,0.028635464,0.062939956,0.035490013
0.275668719,0.024583294,-0.020478886,0.00165197
0.332756737,-0.014192026,-0.038521778,0.03567744
0.301375882,0.002107653,0.009563947,0.043711703
0.389585962,0.018977405,-0.011661948,0.002273011
0.390644987,0.051667349,0.011084198,0.093249992
0.325342967,-0.064100811,0.049809055,0.120195412
0.493036146,-0.014644359,0.00136542,-0.013406362
0.382225515,0.0199081,0.037114496,0.106993674
0.30431823,-0.064024157,-0.082917075,-0.15030688
0.245195743,-0.029952391,-0.047726383,-0.063008081
0.232560494,-0.06515828,-0.092542137,-0.079509946
0.138727003,-0.031893423,0.021663604,-0.020083888
0.23125772,-0.015806683,-0.060109935,0.009154958
0.310390452,-0.077765164,-0.038269522,0.065129306
0.269806035,-0.009451789,0.066948278,0.08986486
0.296498372,-0.007309847,0.045913347,
0.378206346,0.085221484,,
0.325762506,,,
